Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
39.6601,6.56605,2.05612,3.85946,0.0337026,0.158221,0,0,0,0
17.3774,8.33157,3.93443,0,0.329499,0,0,0,0,0
8.59245,12.501,4.45411,0,0.404682,0,0,0,0,0
16.5678,22.2553,3.77054,0.31547,0.773613,0,0,0,0,0
22.7064,13.7202,10.3505,1.43052,0,0,0,0,0,0
13.442,19.4938,3.38905,1.04855,0.0949806,0,0,0,0,0
48.5281,4.39928,1.88844,0,0,0,0,0,0,0
17.3065,4.21457,6.32498,1.71491,0,0,0,0,0,0
36.5615,6.26141,3.28073,10.0355,0,0,0,0,0,0
35.0031,31.6678,0.646099,3.50572,0.418968,0,0,0,0,0
16.7237,3.41483,1.40274,0,0,0,0,0,0,0
32.1671,6.91268,12.7485,3.70898,0,0,0,0,0,0
15.0297,18.6926,9.29747,0,0.0909874,0.124608,0,0,0,0
7.39465,17.8951,0.515582,1.25471,0,0,0,0.3349,0,0
31.5916,1.8283,0.412288,0,0,1.82053,0,0,0,0
53.8268,3.28448,0.981347,0,0,0,0,0,0,0
26.2233,13.6715,8.62822,2.30184,1.32619,0,0,0,0,0
30.3219,6.11925,1.20966,0,0.928146,0,0,0,0,0
25.3782,3.69006,0,0.568421,0,0,0,0,0,0
22.5638,26.1172,0.945303,0,0,0,0,0,0,0
2.73163,12.638,9.46503,1.01544,0,0,0,0,0,0
33.2707,7.40693,2.42302,0.145719,0,0,3.80737,0,0,0
58.7173,5.00261,0,0.407609,0,0,0,0,0,0
25.334,10.1941,16.0167,5.91427,0,0,0,0,0,0
17.1873,6.51297,15.747,13.7178,0.492118,0,0,0,0,0
14.2175,9.26372,16.237,0,4.88916,0,0,0,0,0
24.0421,15.189,7.13839,3.02429,0,0,0,0,0,0
45.651,10.4947,3.52097,0.220231,0,0,0,0,0,0
47.9764,1.35556,0.614874,5.14685,0,2.01366,0,0,0,0
3.22569,43.2858,6.24625,0.558126,1.40412,0,0,0,0,0
24.4665,0.914407,2.06211,3.5776,0,0,0,0,0,0
32.5665,13.1065,0.227047,0.213164,0,0,0,0,0,0
28.2485,51.1002,0.819651,0.138914,0.0859804,0,0,0,0,0
22.6154,2.17327,2.47028,0,0,0.0648465,0,0,0,0
