Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
2.68541,3.03437,5.57594,5.60626,18.4526,1.06529,1.66841,6.02443,0.000119445,0
17.073,11.0683,0.677407,0,0,0,0,0,0,0
4.62145,0.465969,4.91079,12.2862,1.27843,1.19124,0.0508673,0,0,0
3.07039,3.25176,3.0493,2.78196,5.43407,4.51711,4.05508,0,0,0
4.70931,30.0594,11.3653,1.82144,2.28611,1.20331e-05,0,0,0,0
8.3933,0.811203,0,0,0,0,0.0858992,2.19495,0,0
3.71446,11.6654,12.0294,9.38075,10.2709,0,0,0,0,0
22.9675,6.36218,7.24438,1.8828,0,0,0,0,0,0
3.43255,3.58537,4.42173,43.184,0.248761,0.278847,0.479305,15.8378,0.0603532,0
3.48583,3.31268,5.8024,3.26199,3.22202,33.9496,3.54762,0.668224,0,0
15.4121,11.7064,1.21622,3.85346,0.0388387,0,0,0,0,0
2.71372,3.49541,3.29215,3.56356,3.816,4.58941,12.4586,8.72726,0.784091,0.535725
16.3104,0.723163,4.75351,2.78509,1.92106,0.000247761,0.241471,0,0,0
3.03247,3.09803,3.10064,4.16709,3.58376,3.00957,3.51049,3.00474,3.8288,4.02266
4.13227,79.0403,2.94309,0.273117,0.800626,0,0,0,0,0
3.38164,3.02721,6.07401,6.82248,3.8956,8.43851,3.80137,3.1977,3.25585,2.89788
9.34584,4.65652,0.56158,0,0,0,0,0,0,0
4.04198,3.69222,4.74858,17.4928,15.478,6.30737,1.79114,0.2074,0,0
3.87193,144.565,22.1641,0.478331,2.85013,0,0,0,0,0
2.971,3.13232,4.23124,3.96234,21.5666,3.39542,0,0,0,0
2.13719,24.7856,4.97365,0,0.75693,18.0688,4.10627,0,0,0
10.5031,10.2735,3.11504,0,0.359745,0,0,0,0,0
5.49993,69.0142,17.786,0,0,0,0,0,0,0
34.9276,1.92056,1.84651,0,0,0,0,0,0,0
5.38835,23.089,2.55542,0,0,1.00325,0,0,0,0
5.06262,3.08462,16.396,15.7903,6.25297,0.000374438,0,11.5399,1.15553,0
38.3806,4.97385,0.918299,0,0,0,0,0,0,0
4.13049,2.73164,5.18231,3.5035,3.17194,5.90891,5.12879,3.43485,0.00135669,0.249677
